player,minutes,goals,goals90,aerialsWon,aerials90,tackles,tackles90,seasonStarting
Raúl JiménezWolverhampton Wanderers,3125,13,0.3744,78,2.2464,30,0.864,2018
RicharlisonEverton,2679,13,0.436730123,70,2.35162374,48,1.612541993,2018
Ashley BarnesBurnley,2388,12,0.452261307,132,4.974874372,28,1.055276382,2018
Ayoze PérezNewcastle United,2928,12,0.368852459,26,0.799180328,59,1.81352459,2018
Son Heung-MinTottenham,2049,12,0.527086384,4,0.175695461,23,1.010248902,2018
Joshua KingBournemouth,2974,12,0.363147276,89,2.6933423,30,0.907868191,2018
Luka MilivojevicCrystal Palace,3420,12,0.315789474,54,1.421052632,90,2.368421053,2018
Roberto FirminoLiverpool,2620,12,0.41221374,30,1.030534351,30,1.030534351,2018
Romelu LukakuManchester United,2130,12,0.507042254,93,3.929577465,8,0.338028169,2018
Aleksandar MitrovicFulham,3282,11,0.301645338,239,6.55393053,19,0.521023766,2018
Salomón RondónNewcastle United,2609,11,0.37945573,146,5.036412419,8,0.275967804,2018
Anthony MartialManchester United,1624,10,0.554187192,18,0.997536946,9,0.498768473,2018
Chris WoodBurnley,2596,10,0.346687211,132,4.576271186,12,0.416024653,2018
Gerard DeulofeuWatford,2083,10,0.432069131,3,0.129620739,11,0.475276044,2018
Leroy SanéManchester City,1867,10,0.482056776,10,0.482056776,24,1.156936261,2018
Lucas MouraTottenham,2128,10,0.422932331,34,1.437969925,35,1.480263158,2018
Marcus RashfordManchester United,2345,10,0.383795309,29,1.113006397,24,0.921108742,2018
Marko ArnautovicWest Ham,2001,10,0.449775112,24,1.07946027,9,0.404797601,2018
Wilfried ZahaCrystal Palace,3041,10,0.295955278,9,0.26635975,39,1.154225584,2018
Diogo JotaWolverhampton Wanderers,2372,9,0.34148398,27,1.024451939,28,1.062394604,2018
Felipe AndersonWest Ham,3054,9,0.265225933,10,0.294695481,89,2.622789784,2018
Troy DeeneyWatford,2548,9,0.317896389,207,7.311616954,24,0.847723705,2018
Christian EriksenTottenham,2772,8,0.25974026,13,0.422077922,41,1.331168831,2018
PedroChelsea,1781,8,0.404267266,9,0.454800674,27,1.364402021,2018
Andre GrayWatford,1362,7,0.462555066,17,1.123348018,3,0.198237885,2018
Bernardo SilvaManchester City,2853,7,0.220820189,11,0.347003155,52,1.640378549,2018
Danny IngsSouthampton,1668,7,0.377697842,19,1.025179856,30,1.618705036,2018
David BrooksBournemouth,2278,7,0.276558385,7,0.276558385,37,1.461808604,2018
Gabriel JesusManchester City,1022,7,0.616438356,15,1.320939335,10,0.880626223,2018
James MaddisonLeicester,2850,7,0.221052632,11,0.347368421,48,1.515789474,2018
James Ward-ProwseSouthampton,1942,7,0.324407827,21,0.973223481,36,1.66838311,2018
ChicharitoWest Ham,1339,7,0.470500373,12,0.806572069,3,0.201643017,2018
Riyad MahrezManchester City,1338,7,0.470852018,19,1.278026906,14,0.941704036,2018
Ryan FraserBournemouth,3173,7,0.198550268,11,0.312007564,18,0.510557832,2018
André SchürrleFulham,1650,6,0.327272727,15,0.818181818,30,1.636363636,2018
Andros TownsendCrystal Palace,3018,6,0.178926441,4,0.119284294,62,1.848906561,2018
David SilvaManchester City,2412,6,0.223880597,20,0.746268657,30,1.119402985,2018
Dominic Calvert-LewinEverton,1776,6,0.304054054,111,5.625,13,0.658783784,2018
Henrikh MkhitaryanArsenal,1645,6,0.328267477,21,1.14893617,28,1.531914894,2018
Ilkay GündoganManchester City,2136,6,0.252808989,26,1.095505618,19,0.800561798,2018
Michail AntonioWest Ham,2101,6,0.257020466,80,3.426939553,23,0.985245121,2018
Nathan RedmondSouthampton,3278,6,0.164734594,25,0.686394143,45,1.235509457,2018
Roberto PereyraWatford,2825,6,0.191150442,4,0.127433628,21,0.669026549,2018
Ruben Loftus-CheekChelsea,985,6,0.54822335,21,1.918781726,18,1.644670051,2018
Xherdan ShaqiriLiverpool,1059,6,0.509915014,3,0.254957507,14,1.1898017,2018
Abdoulaye DoucouréWatford,3062,5,0.146962769,41,1.205094709,71,2.086871326,2018
Álvaro MorataChelsea,943,5,0.477200424,18,1.717921527,8,0.763520679,2018
Mohamed SalahLiverpool,2922,32,0.985626283,13,0.400410678,12,0.369609856,2017
Harry KaneTottenham,3083,30,0.875770354,60,1.751540707,17,0.496269867,2017
Sergio AgüeroManchester City,1969,21,0.959878111,10,0.457084815,9,0.411376333,2017
Jamie VardyLeicester,3258,20,0.552486188,76,2.099447514,15,0.414364641,2017
Raheem SterlingManchester City,2593,18,0.624758966,8,0.277670652,19,0.659467798,2017
Romelu LukakuManchester United,2869,16,0.501917044,109,3.419309864,7,0.219588707,2017
Roberto FirminoLiverpool,2778,15,0.485961123,46,1.490280778,65,2.105831533,2017
Alexandre LacazetteArsenal,2212,14,0.569620253,29,1.179927667,24,0.976491863,2017
Gabriel JesusManchester City,1673,13,0.699342499,21,1.129707113,23,1.237298267,2017
Eden HazardChelsea,2433,12,0.443896424,8,0.295930949,6,0.221948212,2017
Glenn MurrayBrighton,2198,12,0.491355778,116,4.74977252,18,0.737033667,2017
Son Heung-MinTottenham,2312,12,0.467128028,3,0.116782007,17,0.661764706,2017
Riyad MahrezLeicester,2961,12,0.364741641,28,0.85106383,39,1.185410334,2017
Álvaro MorataChelsea,2067,11,0.478955007,54,2.351233672,13,0.566037736,2017
Marko ArnautovicWest Ham,2323,11,0.426173052,22,0.852346104,21,0.813603099,2017
Chris WoodBurnley,1634,10,0.550795594,83,4.571603427,7,0.385556916,2017
Christian EriksenTottenham,3226,10,0.278983261,18,0.50216987,51,1.422814631,2017
Leroy SanéManchester City,2423,10,0.371440363,16,0.594304581,27,1.002888981,2017
Luka MilivojevicCrystal Palace,3082,10,0.29201817,49,1.430889033,85,2.482154445,2017
Pierre-Emerick AubameyangArsenal,1058,10,0.850661626,8,0.680529301,5,0.425330813,2017
Sadio ManéLiverpool,2207,10,0.407793385,27,1.101042139,28,1.141821477,2017
Wayne RooneyEverton,2284,10,0.394045534,25,0.985113835,28,1.103327496,2017
Anthony MartialManchester United,1584,9,0.511363636,14,0.795454545,15,0.852272727,2017
Ashley BarnesBurnley,2159,9,0.375173692,89,3.71005095,21,0.87540528,2017
David SilvaManchester City,2437,9,0.332375872,17,0.627821092,32,1.181780878,2017
Dele AlliTottenham,2972,9,0.272543742,30,0.908479139,46,1.393001346,2017
Wilfried ZahaCrystal Palace,2551,9,0.31752254,4,0.141121129,30,1.058408467,2017
Ayoze PérezNewcastle United,2497,8,0.288346015,44,1.585903084,39,1.405686824,2017
Callum WilsonBournemouth,1991,8,0.361627323,21,0.949271723,9,0.406830738,2017
ChicharitoWest Ham,1544,8,0.466321244,14,0.816062176,11,0.64119171,2017
Jesse LingardManchester United,1823,8,0.394953374,5,0.246845858,30,1.481075151,2017
Joshua KingBournemouth,2456,8,0.293159609,68,2.491856678,36,1.319218241,2017
Kevin De BruyneManchester City,3085,8,0.233387358,15,0.437601297,62,1.808752026,2017
Oumar NiasseEverton,1083,8,0.664819945,34,2.825484765,10,0.831024931,2017
Xherdan ShaqiriStoke,3049,8,0.236142998,5,0.147589374,25,0.737946868,2017
Aaron RamseyArsenal,1848,7,0.340909091,10,0.487012987,35,1.704545455,2017
Abdoulaye DoucouréWatford,3325,7,0.189473684,43,1.163909774,79,2.138345865,2017
